,Count_Videos,Sum_Comments,Sum_Dislikes,Sum_Likes,Sum_Views,Tag
0,1,0.0,0.0,4.0,6383.0,numbered beanstalk
1,1,0.0,1.0,1.0,664.0,schools based counselling
2,1,0.0,1.0,1.0,591.0,sidwell
3,2,1.0,1.0,5.0,885.0,dance
4,1,2.0,3.0,21.0,2368.0,scratch
5,1,0.0,0.0,0.0,935.0,Workers
6,2,11.0,16.0,28.0,36128.0,graphics
7,1,0.0,2.0,8.0,5560.0,CPD
8,4,2.0,8.0,8.0,4959.0,results
9,1,0.0,1.0,1.0,591.0,supplement
10,7,1.0,1.0,19.0,8447.0,Parents
11,1,3.0,3.0,8.0,1603.0,Peng Liyuan
12,27,0.0,79.0,421.0,257403.0,Department
13,3,2.0,8.0,27.0,23973.0,Charlie
14,34,0.0,55.0,289.0,319152.0,children
15,2,4.0,1.0,23.0,7368.0,buddy
16,3,0.0,2.0,7.0,3144.0,Parent
17,1,0.0,2.0,7.0,2605.0,Narey
18,1,3.0,0.0,27.0,10221.0,disability
19,3,0.0,5.0,10.0,17726.0,young
20,1,0.0,0.0,1.0,3541.0,Bew
21,1,1.0,0.0,0.0,246.0,to
22,3,0.0,10.0,11.0,7073.0,proposers
23,1,0.0,1.0,1.0,1633.0,foster
24,1,2.0,0.0,3.0,5956.0,burlington
25,1,1.0,2.0,12.0,3493.0,Confucius Classroom
26,12,0.0,26.0,133.0,48825.0,teaching
27,29,46.0,27.0,152.0,81603.0,Elizabeth Truss
28,1,1.0,0.0,3.0,3202.0,Nick Clegg
29,1,0.0,0.0,2.0,611.0,1080p
30,1,0.0,0.0,4.0,2000.0,Day
31,1,0.0,0.0,1.0,561.0,resources
32,1,0.0,0.0,0.0,65.0,Secondary
33,2,5.0,3.0,4.0,4030.0,Jim
34,1,4.0,2.0,0.0,3694.0,Durand Academy
35,1,0.0,3.0,11.0,22438.0,playing firemen
36,1,0.0,4.0,10.0,6638.0,commercialisation
37,1,1.0,2.0,17.0,3334.0,Hancock
38,1,0.0,4.0,10.0,6638.0,controls
39,1,0.0,0.0,0.0,774.0,Standards
40,1,1.0,2.0,12.0,3493.0,Institute of Education
41,1,0.0,0.0,0.0,467.0,Maths
42,1,3.0,10.0,8.0,8521.0,Secretary
43,1,1.0,1.0,8.0,5584.0,Twist and Pulse
44,1,1.0,2.0,2.0,1678.0,Henry
45,2,3.0,15.0,9.0,9665.0,Elizabeth
46,2,5.0,3.0,4.0,4030.0,Graduate
47,38,0.0,113.0,369.0,244446.0,school
48,3,0.0,0.0,12.0,901.0,MAT
49,1,0.0,2.0,7.0,2605.0,Campaign
50,1,13.0,8.0,8.0,1734.0,skills
51,1,2.0,0.0,2.0,621.0,gender
52,6,9.0,11.0,45.0,27197.0,michael
53,1,0.0,0.0,0.0,1127.0,nick gibb
54,1,2.0,0.0,3.0,5956.0,standards
55,1,0.0,5.0,7.0,4360.0,Nottingham
56,1,3.0,5.0,9.0,3331.0,school direct
57,3,0.0,1.0,7.0,19382.0,nursery
58,2,47.0,60.0,335.0,180371.0,phonics
59,1,0.0,0.0,1.0,1454.0,School-led system
60,1,0.0,1.0,1.0,245.0,Olympics
61,1,0.0,0.0,4.0,2000.0,Needs
62,1,3.0,0.0,1.0,75.0,htb
63,1,0.0,5.0,1.0,1144.0,Sidwell
64,1,0.0,0.0,0.0,65.0,Negative
65,1,1.0,0.0,3.0,3202.0,Free School Meals
66,2,0.0,7.0,15.0,9508.0,Bailey
67,1,3.0,10.0,8.0,8521.0,State
68,5,0.0,33.0,43.0,44719.0,video
69,1,0.0,0.0,1.0,289.0,The SEN Task in Practice Part One
70,6,1.0,5.0,54.0,35715.0,Teaching
71,1,0.0,1.0,1.0,591.0,tes
72,1,16.0,7.0,5.0,4708.0,Mcheal Gove
73,2,0.0,7.0,15.0,9508.0,Reg
74,1,8.0,3.0,26.0,12516.0,folk
75,1,0.0,0.0,4.0,664.0,Merry Christmas
76,1,0.0,0.0,4.0,664.0,Nativity
77,1,0.0,0.0,1.0,353.0,Head
78,1,16.0,7.0,5.0,4708.0,Headteacher
79,1,0.0,2.0,2.0,2223.0,Governors
80,24,0.0,43.0,106.0,84704.0,Gove
81,2,0.0,0.0,16.0,33436.0,early years
82,1,0.0,0.0,0.0,65.0,School workforce collection
83,2,2.0,1.0,6.0,5656.0,Disadvantaged
84,1,1.0,2.0,12.0,3493.0,Confucius Institute (Nonprofit Organization)
85,3,0.0,1.0,7.0,19382.0,health
86,1,0.0,0.0,0.0,119.0,Hear
87,1,0.0,0.0,2.0,376.0,SandersL
88,3,30.0,13.0,37.0,22530.0,new
89,1,0.0,0.0,0.0,780.0,Academies Show
90,1,0.0,3.0,0.0,3029.0,Sally
91,4,5.0,5.0,9.0,8204.0,University
92,1,0.0,0.0,0.0,1127.0,key stage two
93,1,0.0,0.0,1.0,548.0,Short
94,1,0.0,0.0,1.0,500.0,micheal
95,4,0.0,4.0,9.0,8799.0,Professor
96,1,0.0,1.0,4.0,4692.0,High Peak
97,3,8.0,5.0,15.0,10569.0,behaviour
98,24,23.0,43.0,252.0,267097.0,protection
99,2,0.0,0.0,0.0,539.0,groups
100,1,1.0,1.0,15.0,11636.0,English
101,1,1.0,1.0,3.0,2454.0,Premium
102,1,0.0,2.0,7.0,2605.0,David
103,7,17.0,35.0,37.0,46954.0,teacher
104,1,0.0,0.0,0.0,241.0,The SEN Task in Practice Part Two
105,1,3.0,3.0,8.0,1603.0,Chinese
106,5,0.0,8.0,71.0,50478.0,Communication
107,1,0.0,0.0,4.0,2230.0,PISA
108,1,1.0,2.0,10.0,14578.0,exploitation
109,1,0.0,1.0,3.0,4890.0,leadership
110,1,0.0,0.0,4.0,2230.0,survey
111,1,6.0,2.0,28.0,6383.0,World War II (Event)
112,1,3.0,0.0,27.0,10221.0,social
113,1,0.0,2.0,3.0,1416.0,adopting
114,1,13.0,8.0,8.0,1734.0,suitable
115,3,13.0,26.0,110.0,77870.0,changes
116,1,0.0,0.0,0.0,935.0,Vulnerable
117,1,0.0,3.0,0.0,4327.0,Discipline
118,29,46.0,27.0,152.0,81880.0,David Laws
119,1,0.0,1.0,1.0,664.0,school counsellor
120,27,0.0,49.0,292.0,285372.0,family
121,1,1.0,1.0,8.0,5584.0,Jodie Marsh
122,1,2.0,0.0,1.0,689.0,LEON
123,1,0.0,0.0,3.0,107.0,Big Bang
124,1,0.0,0.0,0.0,49.0,COLLECT
125,1,0.0,0.0,0.0,246.0,Book
126,1,0.0,1.0,1.0,961.0,Exit
127,2,0.0,1.0,3.0,3228.0,Free
128,2,5.0,0.0,3.0,355.0,headteacher
129,1,0.0,1.0,1.0,961.0,Dfe
130,1,0.0,0.0,4.0,2230.0,Organisation For Economic Co-operation And Development (Membership Organization)
131,1,1.0,2.0,12.0,3493.0,Dartford Grammar School
132,1,0.0,0.0,5.0,634.0,from
133,1,0.0,1.0,1.0,961.0,'Department
134,1,1.0,2.0,12.0,3493.0,IOE Confucius Institute for Schools
135,2,0.0,0.0,1.0,2568.0,positive
136,1,0.0,0.0,17.0,7530.0,Qualifications
137,1,0.0,6.0,0.0,142.0,teacher workload
138,1,0.0,0.0,2.0,376.0,Deidre
139,1,1.0,0.0,6.0,3867.0,live
140,3,8.0,4.0,29.0,14281.0,music
141,1,0.0,1.0,1.0,805.0,#schoolfood
142,1,0.0,0.0,5.0,10059.0,stage
143,4,49.0,63.0,143.0,106940.0,assessment
144,1,46.0,59.0,331.0,178681.0,screening
145,2,0.0,7.0,15.0,9508.0,Commercialisation
146,1,0.0,2.0,1.0,1311.0,initial
147,12,0.0,99.0,217.0,133835.0,curriculum
148,1,0.0,5.0,7.0,4360.0,NUSA
149,3,2.0,8.0,27.0,23973.0,Taylor
150,1,0.0,0.0,1.0,3541.0,lord
151,1,0.0,2.0,30.0,29383.0,The travel
152,1,2.0,0.0,2.0,280.0,HTB
153,2,0.0,7.0,15.0,9508.0,chesnut
154,4,1.0,1.0,14.0,7139.0,Family
155,3,5.0,2.0,17.0,8568.0,science
156,1,0.0,1.0,30.0,3897.0,video games
157,1,2.0,0.0,0.0,722.0,Crown
158,1,0.0,0.0,1.0,1556.0,Tanya
159,1,0.0,0.0,0.0,246.0,Library
160,1,0.0,5.0,7.0,4360.0,Exams Helpline
161,1,1.0,1.0,6.0,1219.0,values
