,Comments,Dislikes,Likes,Title,Views
0,0,0,0,Flexible Working Summit - David Weston,46
1,0,0,0,Flexible Working Summit - Sue Northend,45
2,0,0,0,Flexible Working Summit - Andrew Warren,44
3,0,0,0,Flexible Working Summit - Justine Greening,465
4,0,0,0,Flexible Working Summit - Emma Stewart,28
5,0,0,0,Flexible Working Summit - Gill Leigh,175
6,0,0,1,Flexible Working Summit - Abrilli Phillip,50
7,0,0,1,Flexible Working Summit - Rt Hon Nick Gibb,37
8,0,0,0,Flexible Working Summit -  Dame Alison Peacock,35
9,0,0,0,Flexible Working Summit - Vicky Beer & Geoff Barton,78
10,0,0,0,Generic COLLECT Guide,49
11,0,0,0,Introduction to the School Workforce Collection,65
12,0,0,0,School Census - Special Educational Needs,24
13,0,0,0,School Census - Preparation and Good Practice,26
14,0,0,0,School Census - School Level Information Required as Part of School Census,27
15,0,0,0,School Census - Early Years Provision,28
16,0,0,1,School Census - School Funding,42
17,0,0,0,School Census - Overview of the School Census,25
18,0,0,0,School Census - Census Reports,29
19,0,0,0,School Census - Autumn Post 16,40
20,0,0,0,"School Census - Attendance, Absence and Exclusions Data",36
21,0,1,1,GCSEs are changing,488
22,1,0,7,A guide to accessing Analyse School Performance,33079
23,3,0,1,Geoff Lloyd - East Midlands & Humber Headteacher Board (HTB),75
24,2,0,2,Claire Robins - North West London & South Central Headteacher Board (HTB),280
25,20,1,13,Analyse School Performance,19978
26,0,0,0,Parents: The Benefits of #30hours,8303
27,1,1,13,Information for parents: 2017 key stage 1 tests,5841
28,24,1,40,Information for parents: 2017 key stage 2 tests,8071
29,11,32,15,Teacher assessment and moderation: addressing misconceptions,22910
30,2,0,3,Education Funding Agency: 2017 to 2018 post-16 funding allocations,1067
31,0,0,1,WISE Academies - Maintaining Good Financial Health,214
32,0,0,1,Making the most of financial review and self-assessment tools,230
33,0,0,0,Answering questions on schools financial health and efficiency – panel discussion,220
34,0,0,0,Parents: The Benefits of #30hours Free Childcare,1044
35,0,0,4,Explore careers: R&D laboratory apprentice,746
36,1,0,7,Explore careers: software developer,647
37,0,0,1,Explore careers: renewable technology engineer,123
38,0,1,8,Explore careers: domiciliary care worker,2046
39,0,0,7,Explore careers: Network Rail technical officer,1219
40,0,3,6,Schools that work for everyone,219
41,0,0,0,David Carter visits Bristol Metropolitan Academy,144
