,Title,Count,Published,Days_Since_Published,Views_per_Day
298,Year 1 phonics screening check training video,178043,2012-04-26 13:26:58,2029,87.7491375062
268,Childhood neglect: Susan Miller's story,138926,2012-06-12 08:35:57,1982,70.0938446014
178,National Curriculum: Tim Oates on assessment,62259,2014-05-22 10:01:44,1273,48.9073055774
346,"Making primary maths real, fun and memorable",56154,2012-03-27 15:19:17,2059,27.2724623604
267,Childhood neglect: Troy Taylor's story,51857,2012-06-12 08:35:53,1982,26.163975782
45,Progress 8 (explained in 3 minutes),44003,2016-08-30 14:07:04,442,99.5542986425
432,Dame Clare Tickell on the EYFS review,35930,2011-03-29 16:19:08,2423,14.8287247214
398,Early Years Foundation Stage: Building a trap for baddies,33279,2011-08-03 15:03:57,2296,14.4943379791
22,A guide to accessing Analyse School Performance,31720,2017-07-04 13:15:01,134,236.71641791
390,Early Years Foundation Stage: Children play at being in a builder's yard,29771,2011-09-14 09:14:53,2254,13.2080745342
382,Early Years Foundation Stage: Children play at being travel agents,29242,2011-09-14 09:44:11,2254,12.9733806566
395,A short film about Free Schools,24398,2011-09-03 00:11:44,2266,10.7669902913
29,Teacher assessment and moderation: addressing misconceptions,22848,2017-03-10 15:36:09,250,91.392
305,Teaching children with dyslexia Part 1: Ewelme C of E Primary School,22335,2012-03-27 15:25:12,2059,10.8474987858
383,Early Years Foundation Stage: Children play firefighters,22326,2011-09-14 09:42:36,2254,9.90505767524
25,Analyse School Performance,19486,2017-04-21 14:58:49,208,93.6826923077
393,Early Years Foundation Stage: Children play outside,19264,2011-09-07 16:04:54,2261,8.52012383901
342,Modelling good communication skills in the classroom,18810,2012-03-27 15:19:16,2059,9.1355026712
316,Using props to teach geography at secondary school level,18341,2012-03-27 15:23:06,2059,8.90772219524
69,KS1 Reading - Working Towards the Expected Standard - The Day the Crayons Quit,18136,2016-04-11 13:24:55,583,31.1080617496
148,Tim Oates talks about assessment without levels,17792,2014-10-31 11:54:30,1111,16.0144014401
64,KS1 Reading - Working at the Expected Standard - How to Hide a Lion,16490,2016-04-11 13:27:50,583,28.2847341338
410,Michael Gove speaks to the Royal Society on maths and science,15945,2011-06-29 23:06:35,2331,6.84041184041
217,A short film about the National Curriculum,15635,2013-07-05 14:00:56,1594,9.8086574655
434,Sarah Teather talks about the SEN and Disability Green Paper,15600,2011-03-08 18:07:29,2444,6.3829787234
68,KS1 Reading - Working at the Expected Standard - The Day the Crayons Quit,13879,2016-04-11 13:26:29,583,23.8061749571
315,Teaching children good communication skills,13839,2012-03-27 15:23:00,2059,6.72122389509
461,The National Curriculum Review,12844,2011-01-18 14:28:00,2493,5.15202567188
386,Early Years Foundation Stage: Paige gets creative,12567,2011-09-14 09:23:34,2254,5.57542147294
375,Woodend Park School on their behaviour checklist,12532,2011-10-19 10:34:22,2219,5.64758900406
367,Saddle the Pony played on the mandolin,12510,2011-11-25 10:36:37,2182,5.73327222731
67,KS1 Reading - Working at the Expected Standard - A Squash and a Squeeze,12425,2016-04-11 13:27:14,583,21.3121783877
317,Introducing intensive interaction to children with severe learning difficulties,12101,2012-03-27 15:23:04,2059,5.87712481787
159,The School Revolution,12016,2014-07-09 21:55:52,1225,9.80897959184
208,National Curriculum: Interview with Debbie Morgan,11899,2013-10-21 13:47:18,1486,8.00740242261
356,Short film on Academies,11703,2012-02-10 10:26:52,2105,5.55961995249
380,Early Years Foundation Stage: Children build a number line,11659,2011-09-21 12:22:02,2247,5.18869603916
348,Teaching assistants engaging with secondary school students,11595,2012-03-27 15:19:16,2059,5.63137445362
385,Early Years Foundation Stage: Children build a vehicle,11567,2011-09-14 09:30:18,2254,5.13176574978
396,Michael Gove on Free Schools,11524,2011-09-02 16:22:04,2266,5.08561341571
384,Early Years Foundation Stage: Children hunt for the big bad wolf,11337,2011-09-14 09:36:18,2254,5.02972493345
447,Professor Eileen Munro talks about child protection: February 2011,11293,2011-02-01 09:50:52,2479,4.55546591367
381,Early Years Foundation Stage: Children play on a pirate ship,10814,2011-09-14 09:45:25,2254,4.79769299024
88,Get into teaching TV advert 2015,10586,2015-10-28 11:26:52,749,14.1335113485
464,The benefits of schools converting to academy status: Denbigh High School,10469,2011-01-05 13:38:05,2506,4.17757382283
331,Part 2: Teaching primary school children communication skills,10396,2012-03-27 15:22:56,2059,5.04905293832
351,Avril: Our adoption story,10214,2012-03-14 09:35:08,2072,4.92953667954
89,Get into teaching TV advert 2015,10065,2015-10-28 11:26:57,749,13.437917223
404,Families in the Foundation Years: Helping babies to develop,10058,2011-07-14 13:26:56,2316,4.34283246978
154,"Education, Health and Care plans",9853,2014-08-22 08:31:38,1181,8.34292972058
